SRC_CANFORM	TGT_CANFORM	COMMENTS
project file	fichier projet, fichier du projet	CONTEXTE ! pl = fichiers projet (fichiers du projet, fichiers d'un projet)
Rainbow	Rainbow	product name
recognition of inflected forms	identification des flexions	glossary function
regular expression	expression régulière	regexp, regex ; emploi critiqué (expression rationnelle) 
ressource file	fichier de ressources	fichier ressource
revision control system	système de gestion de version	
right-to-left languages	langues s'écrivant de droite à gauche	
screenshots	captures d'écran	
segment	segment	
source segment	segment source	
source text 	texte source	pl = textes source
spell checker	vérificateur orthographique	(plus courant : vérificateur d'orthographe)
spell checking	vérification de l'orthographe, vérification orthographique	selon contexte : correction (orthographique) ; interactive spell-checking = correction interactive ; inline spell-checking = vérification orthographique lors de la frappe
spell-checking	vérification de l'orthographe, vérification orthographique	selon contexte : correction (orthographique) ; interactive spell-checking = correction interactive ; inline spell-checking = vérification orthographique lors de la frappe
spelling checker	vérificateur orthographique	(plus courant : vérificateur d'orthographe)
string	chaîne de caractères	chaîne
Subversion	Subversion	http://fr.wikipedia.org/wiki/Apache_Subversion
tag	balise	
tag verification	validation des balises	IHM (menu Options)
TagEditor	TagEditor	product name (Trados)
target field	ligne d'édition	
target segment	segment cible	
terminology manager	gestionnaire de terminologie	
text counting	comptage de texte	
third-party translation memories	mémoires de traduction externes	
TM	MT	translation memory = mémoire de traduction
TMX file	fichier TMX	native TMX file = fichier TMX natif ; level 1 TMX file = fichier TMX niveau 1; level 2 TMX file = fichier TMX niveau 2
tokenizer	lemmatiseur	un lemmatiseur est un programme de traitement automatique du langage qui permet de passer d'un mot portant des marques de flexion (pluriel, forme conjuguée d'un verbe...) à sa forme de référence (lemme ou forme canonique) ou inversement (www.profession-traducteur.net/outils/outils.htm) ; la principale utilisation d'un tokenizer est de créer les mots (clés) pour les moteurs de recherche ; (stemming = recherche de radical, indexation par radicaux)
Tokenizer	Tokenizer	nom de l'extension (www.omegat.org/fr/resources.html)
tracking system	système de suivi	
translation memory	mémoire de traduction	TM = MT
translation memory application	logiciel de mémoire de traduction	CONTEXTE ! si relatif au logiciel OmegaT 'logiciel de TAO' (mt est trop restrictif)
translation memory program	logiciel de mémoire de traduction	CONTEXTE ! si relatif au logiciel OmegaT 'logiciel de TAO' (mt est trop restrictif)
translation memory tool	outil de mémoire de traduction	CONTEXTE ! si relatif au logiciel OmegaT 'logiciel de TAO' (mt est trop restrictif)
translation unit	unité de traduction	
translation workflow assistant	assistant de processus de traduction	TWA (Benten)
tutorial	tutoriel	detailed tutorial = tutoriel complet
TWA	assistant de processus de traduction	translation workflow assistant (Benten)
uncleaned	non-nettoyé	Trados bilingual RTF format ("uncleaned" files) = format RTF bilingue de Trados (fichiers « non nettoyés »)
user manual	manuel de l'utilisateur	manuel utilisateur, syn. selon contexte : guide
Web Start	Web Start	Web Start version = version Web Start
tagged text	texte balisé	tagged text file = fichier texte balisé
monolingual XLIFF	XLIFF monolingue	(.xlf, .sdlxliff)
QuarkXPress CopyFlowGold	CopyFlowGold pour QuarkXPress	(.tag, .xtg)
SubRip title files	sous-titres SubRip	(.srt)
Android resource 	ressource Android	(.xml)
Typo3 LocManager	Typo3 LocManager	(.xml)
WiX Localization	WiX Localization	(.wxl)
DocBook	DocBook	(.xml)
HTML Help Compiler	HTML Help Compiler	(.hhc, .hhk)
DocuWiki	DocuWiki	(.txt)
INI (key=value)	INI (clé=valeur) 	(.ini)
PO	Portable Object (PO), PO	(.po)
Java resource bundles	paquets de ressources Java	(.properties)
